NAME,2020E,SOV_A3
Australia,0,AU1
Austria,0,AUT
Belgium,0.0786,BEL
Bulgaria,0.7348,BGR
Canada,0,CAN
Chile,0,CHL
Colombia,0,COL
Costarica,0,CRI
Croatia,0,HRV
Cyprus,0,CYP
Czechia,0.8604,CZE
Denmark,0,DN1
Estonia,0.4634,EST
Finland,0.6776,FI1
France,0.1998,FR1
Germany,0.4571,DEU
Greece,0.3892,GRC
Hungary,1.1057,HUN
Iceland,0,ICL
Ireland,0,IRL
Israel,0,IS1
Italy,0.4087,ITA
Japan,0.0816,JPN
Korea,0.047,KOR
Latvia,1.001,LVA
Lithuania,0.5049,LTU
Luxembourg,0.252,LUX
Malta,0,
Mexico,0,MEX
Netherlands,0.359,NL1
Norway,0.0018,NOR
New Zealand,0,NZ1
Poland,0.4642,POL
Portugal,0.0962,PRT
Romania,0.0638,ROU
Slovakia,0.8837,SVK
Slovenia,0.117,SVN
Spain,0.1056,ESP
Sweden,0.1414,SWE
Switzerland,0,CHE
Turkey,0.3371,TUR
United Kingdon,0.0299,GB1
United States of America,0,US1
